text,author_name,author_username,timestamp,relative_time,tweet_url,replies,reposts,likes,views,team_name
"('All smiles in the gym ',)",Manchester United,@ManUtd,2025-10-21T10:10:00.000Z,Oct 21,https://x.com/ManUtd/status/1980577299662573699,,0,0,0,ManUtd
"('Kobs ',)",Manchester United,@ManUtd,2025-10-21T10:07:00.000Z,Oct 21,https://x.com/ManUtd/status/1980576544775925843,238,1.9K,38K,489K,ManUtd
"('Leaving it all out there ',)",Manchester United,@ManUtd,2025-10-21T11:00:01.000Z,Oct 21,https://x.com/ManUtd/status/1980589888798851488,150,872,8.9K,221K,ManUtd
"('All smiles in the gym ',)",Manchester United,@ManUtd,2025-10-21T10:10:00.000Z,Oct 21,https://x.com/ManUtd/status/1980577299662573699,,0,0,0,ManUtd
"('Kobs ',)",Manchester United,@ManUtd,2025-10-21T10:07:00.000Z,Oct 21,https://x.com/ManUtd/status/1980576544775925843,238,1.9K,38K,489K,ManUtd
"('Leaving it all out there ',)",Manchester United,@ManUtd,2025-10-21T11:00:01.000Z,Oct 21,https://x.com/ManUtd/status/1980589888798851488,150,872,8.9K,221K,ManUtd
"('All smiles in the gym ',)",Manchester United,@ManUtd,2025-10-21T10:10:00.000Z,Oct 21,https://x.com/ManUtd/status/1980577299662573699,,0,0,0,ManUtd
"('Kobs ',)",Manchester United,@ManUtd,2025-10-21T10:07:00.000Z,Oct 21,https://x.com/ManUtd/status/1980576544775925843,238,1.9K,38K,489K,ManUtd
"('Leaving it all out there ',)",Manchester United,@ManUtd,2025-10-21T11:00:01.000Z,Oct 21,https://x.com/ManUtd/status/1980589888798851488,150,872,8.9K,221K,ManUtd
"('All smiles in the gym ',)",Manchester United,@ManUtd,2025-10-21T10:10:00.000Z,Oct 21,https://x.com/ManUtd/status/1980577299662573699,,0,0,0,ManUtd
"('Kobs ',)",Manchester United,@ManUtd,2025-10-21T10:07:00.000Z,Oct 21,https://x.com/ManUtd/status/1980576544775925843,238,1.9K,38K,489K,ManUtd
"('Leaving it all out there ',)",Manchester United,@ManUtd,2025-10-21T11:00:01.000Z,Oct 21,https://x.com/ManUtd/status/1980589888798851488,150,872,8.9K,221K,ManUtd
"('All smiles in the gym ',)",Manchester United,@ManUtd,2025-10-21T10:10:00.000Z,Oct 21,https://x.com/ManUtd/status/1980577299662573699,,0,0,0,ManUtd
"('Kobs ',)",Manchester United,@ManUtd,2025-10-21T10:07:00.000Z,Oct 21,https://x.com/ManUtd/status/1980576544775925843,238,1.9K,38K,489K,ManUtd
"('Leaving it all out there ',)",Manchester United,@ManUtd,2025-10-21T11:00:01.000Z,Oct 21,https://x.com/ManUtd/status/1980589888798851488,150,872,8.9K,221K,ManUtd
"('All smiles in the gym ',)",Manchester United,@ManUtd,2025-10-21T10:10:00.000Z,Oct 21,https://x.com/ManUtd/status/1980577299662573699,,0,0,0,ManUtd
"('Kobs ',)",Manchester United,@ManUtd,2025-10-21T10:07:00.000Z,Oct 21,https://x.com/ManUtd/status/1980576544775925843,238,1.9K,38K,489K,ManUtd
"('Leaving it all out there ',)",Manchester United,@ManUtd,2025-10-21T11:00:01.000Z,Oct 21,https://x.com/ManUtd/status/1980589888798851488,150,872,8.9K,221K,ManUtd
"('All smiles in the gym ',)",Manchester United,@ManUtd,2025-10-21T10:10:00.000Z,Oct 21,https://x.com/ManUtd/status/1980577299662573699,,0,0,0,ManUtd
"('Kobs ',)",Manchester United,@ManUtd,2025-10-21T10:07:00.000Z,Oct 21,https://x.com/ManUtd/status/1980576544775925843,238,1.9K,38K,489K,ManUtd
"('Leaving it all out there ',)",Manchester United,@ManUtd,2025-10-21T11:00:01.000Z,Oct 21,https://x.com/ManUtd/status/1980589888798851488,150,872,8.9K,221K,ManUtd
"('All smiles in the gym ',)",Manchester United,@ManUtd,2025-10-21T10:10:00.000Z,Oct 21,https://x.com/ManUtd/status/1980577299662573699,,0,0,0,ManUtd
"('Kobs ',)",Manchester United,@ManUtd,2025-10-21T10:07:00.000Z,Oct 21,https://x.com/ManUtd/status/1980576544775925843,238,1.9K,38K,489K,ManUtd
"('AN EMPHATIC CHAMPIONS LEAGUE WIN ',)",Arsenal,@Arsenal,2025-10-21T20:51:12.000Z,23h,https://x.com/Arsenal/status/1980738661927747600,1.6K,19K,72K,1.7M,Arsenal
"('Atmosphere \n\nPhotos in collaboration with Josh Upton ',)",Arsenal,@Arsenal,2025-10-22T18:22:08.000Z,1h,https://x.com/Arsenal/status/1981063539973640540,56,387,3.3K,67K,Arsenal
Error retrieving tweet,Arsenal,@Arsenal,2025-10-22T18:22:10.000Z,1h,https://x.com/Arsenal/status/1981063547812815141,5,37,400,46K,Arsenal
Error retrieving tweet,Arsenal,@Arsenal,2025-10-22T18:22:12.000Z,1h,https://x.com/Arsenal/status/1981063554846642547,9,40,377,45K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Our innovator. Our invincible. \n\nHappy birthday, Arsene Wenger ',)",Arsenal,@Arsenal,2025-10-22T09:00:59.000Z,11h,https://x.com/Arsenal/status/1980922320622678303,807,10K,50K,988K,Arsenal
"('Non-stop in N5 \n\nOur POTM as voted for by you: Viktor Gyokeres ',)",Arsenal,@Arsenal,2025-10-22T08:02:01.000Z,12h,https://x.com/Arsenal/status/1980907482286535038,141,1.3K,14K,167K,Arsenal
"('About last night ',)",Arsenal,@Arsenal,2025-10-22T07:01:00.000Z,13h,https://x.com/Arsenal/status/1980892124158783850,378,5.6K,30K,378K,Arsenal
"('A message from Viktor to you ',)",Arsenal,@Arsenal,2025-10-21T23:30:00.000Z,20h,https://x.com/Arsenal/status/1980778628012208552,180,2.2K,19K,243K,Arsenal
"('Back to work. \n\n 4-1  [46] #CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T20:09:59.000Z,1m,https://x.com/ChelseaFC/status/1981090681050615917,55,40,361,3.5K,ChelseaFC
"('Four goals in the first-half! \n\n#CFC | #UCL',)",Chelsea FC,@ChelseaFC,2025-10-22T19:52:34.000Z,18m,https://x.com/ChelseaFC/status/1981086295335092478,523,1.5K,7.5K,120K,ChelseaFC
